DISTRICT,LOCATION,PH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,ALK,CA,MG,TH,NA,K,SAR
Kachchh,Devisar,7.68,3202,2145,0,281,837.0,28.0,204.0,2.5,230,208,112.0,981,229.0,83.0,3.2
Kachchh,Haboi,7.68,1351,905,0,268,227.0,5.8,140.0,1.5,220,72,44.0,360,140.0,8.7,3.2
Kachchh,Kharai,7.66,6328,4240,0,451,1546.0,8.6,810.0,0.36,370,240,199.0,1421,950.0,21.0,11.0
Kachchh,Kharoi,7.65,1230,824,0,293,248.0,0.77,66.0,0.41,240,60,71.0,440,88.0,5.0,1.8
Kachchh,Khavda,7.35,5591,3746,0,268,1418.0,41.0,548.0,0.33,220,232,102.0,1001,775.0,26.0,10.7
Kachchh,Kotaya,8.19,1358,910,0,427,191.0,26.0,54.0,2.5,350,24,36.0,210,215.0,0.79,6.5
Kachchh,Kothara,7.95,4044,2709,0,451,1021.0,19.0,205.0,0.31,370,232,41.0,751,510.0,48.0,8.1
Kachchh,Lakhpat,7.24,3443,2307,0,293,915.0,3.9,146.0,0.58,240,184,119.0,951,293.0,6.3,4.1
Kachchh,Lilpar,7.98,4890,3276,0,256,950.0,46.0,900.0,1.6,210,200,122.0,1001,630.0,33.0,8.7
Kachchh,Lodai,7.63,3579,2398,0,305,645.0,25.0,592.0,1.1,250,172,100.0,841,392.0,22.0,5.9
Kachchh,Luni,7.98,4069,2726,0,805,851.0,54.0,66.0,0.56,660,128,58.0,560,576.0,37.0,10.6
Kachchh,Mata Na Madh,7.88,1184,793,0,207,213.0,18.0,107.0,0.84,170,84,22.0,300,122.0,6.5,3.1
Kachchh,Moticher,7.85,1000,670,0,268,191.0,4.7,4.0,0.22,220,76,34.0,330,57.0,19.0,1.4
Kachchh,Naliya,8.23,1655,1109,0,537,241.0,22.0,64.0,0.96,440,36,4.9,110,330.0,3.5,13.7
Kachchh,Rapar,7.63,3976,2664,0,256,744.0,47.0,720.0,0.96,210,204,124.0,1021,405.0,43.0,5.5
Kachchh,Ratanpur Kahdir,7.79,4300,2881,0,342,1049.0,5.7,309.0,1.6,280,84,105.0,641,614.0,17.0,10.6
Kachchh,Samkhiari,7.66,6156,4125,0,488,1546.0,210.0,325.0,3.8,400,112,214.0,1161,830.0,17.0,10.6
Kachchh,Sedat,7.76,840,563,0,281,92.0,1.3,45.0,0.28,230,72,29.0,300,52.0,3.4,1.3
Kachchh,Shinaya,7.72,5704,3822,0,293,1546.0,1.5,309.0,0.99,240,100,92.0,631,905.0,6.4,15.7
Kachchh,Sukhpar,7.32,8315,5571,0,232,2056.0,50.0,1220.0,2.8,190,429,199.0,1892,1130.0,6.9,11.3
Kachchh,Tera,8.18,4218,2826,0,1025,581.0,81.0,390.0,10.0,840,36,39.0,250,915.0,5.2,25.2
Kachchh,Vinjhan,7.74,5048,3382,0,281,1333.0,3.1,307.0,1.5,230,140,134.0,901,650.0,11.0,9.4
Kheda,Alina,7.88,3150,2111,0,476,561.0,170.0,272.0,0.78,390,24,185.0,820,363.0,8.3,26.2
Kheda,Alindra,8.24,690,462,0,366,21.0,6.0,24.0,0.66,300,32,41.0,250,56.0,10.0,17.0
Kheda,Balasinor1,7.08,665,446,0,220,85.0,12.0,38.0,0.24,180,64,19.0,240,46.0,0.31,1.3
Kheda,Juna vasadra,7.62,1469,984,0,207,291.0,65.0,101.0,0.62,170,116,78.0,610,67.0,1.3,1.2
Kheda,Kalesar,8.42,1224,820,72,500,64.0,13.0,44.0,1.3,410,28,54.0,290,179.0,0.66,4.6
Kheda,Mahudha,8.27,2366,1585,0,586,419.0,9.0,100.0,0.67,480,20,114.0,520,300.0,31.0,21.2
Kheda,Muliyad,7.43,11160,7477,0,232,3621.0,28.0,420.0,0.48,190,260,547.0,2900,1500.0,37.0,53.9
Mahesana,Asjol,8.23,815,546,0,451,36.0,70.0,2.35,0.5,370,120,22.0,390,31.0,28.0,0.7
Mahesana,Dharpura,8.52,3251,2178,96,866,298.0,13.0,480.0,1.2,870,28,71.0,360,638.0,36.0,14.6
Mahesana,Dosaj,7.89,4401,2949,0,305,1065.0,80.0,490.0,0.35,250,112,90.0,650,650.0,88.0,11.0
Mahesana,Kheralu1,8.18,1525,1022,0,537,270.0,17.0,68.0,1.9,440,52,51.0,340,273.0,0.8,6.4
Mahesana,Maguna,8.46,3930,2633,312,708,746.0,48.0,86.0,1.3,1100,116,173.0,1000,636.0,33.0,8.7
Mahesana,Panchot,8.46,1707,1144,108,354,327.0,7.0,20.0,0.39,470,72,17.0,250,296.0,69.0,8.1
Mahesana,Rampura1,8.46,980,657,96,317,99.0,17.0,18.0,0.7,420,72,36.0,330,107.0,4.1,2.6
Mahesana,Sihi,8.2,1180,791,0,305,151.0,57.0,45.0,1.3,250,48,32.0,250,120.0,41.0,3.3
Mahesana,Tarabh,8.1,872,584,0,268,170.0,3.9,11.0,0.39,220,68,44.0,350,44.0,16.0,1.0
Mahesana,Unjha,8.35,2640,1769,84,317,433.0,131.0,234.0,0.71,400,48,56.0,350,450.0,46.0,10.0
Mahesana,Vidaj,8.62,2380,1595,60,427,447.0,31.0,83.0,0.53,450,64,15.0,220,300.0,198.0,8.8
Narmada,Almavadi,7.26,1034,693,0,268,121.0,22.0,127.0,0.22,220,84,58.0,450,29.0,0.6,0.6
Narmada,Amayar,7.41,646,433,0,244,35.0,23.0,60.0,0.21,200,60,34.0,290,14.0,0.3,0.4
Narmada,Chikada,7.26,841,563,0,244,106.0,16.0,66.0,0.22,200,64,39.0,320,46.0,0.8,1.1
Narmada,Chuli,7.12,990,663,0,220,99.0,58.0,141.0,0.12,180,124,32.0,440,24.0,0.4,0.5
Narmada,Dev Mogra,6.98,725,486,0,329,28.0,22.0,34.0,0.22,270,76,32.0,320,19.0,0.1,0.5
Narmada,Garudeshwar,7.23,1030,690,0,378,71.0,48.0,70.0,0.36,310,60,61.0,400,52.0,2.3,1.1
Narmada,Hirapura,7.55,750,503,0,305,50.0,12.0,52.0,0.68,250,56,36.0,290,38.0,1.1,1.0
Narmada,Jankh,7.41,605,405,0,256,35.0,21.0,24.0,0.46,210,72,22.0,270,14.0,0.3,0.4
Narmada,Kanbi Pitha,7.14,587,393,0,281,14.0,18.0,27.0,0.28,230,56,29.0,260,15.0,0.1,0.4
Narmada,Khaidi Pada,7.18,544,364,0,232,43.0,10.0,16.0,0.31,190,56,19.0,220,23.0,0.2,0.7
Narmada,Khota Amba,6.94,925,620,0,415,35.0,55.0,21.0,0.36,340,58,62.0,400,30.0,0.3,0.7
Narmada,Namaria,7.35,1349,904,0,415,121.0,112.0,58.0,0.75,340,48,107.0,560,51.0,1.0,0.9
Narmada,Nani Singlot,7.51,674,452,0,171,43.0,108.0,28.0,0.45,140,76,27.0,300,16.0,0.3,0.4
Narmada,Ralda,7.66,468,314,0,195,35.0,15.0,10.0,0.53,160,40,26.0,205,14.0,0.1,0.4
Narmada,Rasela,7.42,3600,2412,0,1037,539.0,155.0,41.0,0.16,850,60,185.0,910,410.0,3.1,5.9
Narmada,Ringani,7.29,905,606,0,390,43.0,55.0,17.0,0.46,320,44,61.0,360,42.0,0.4,1.0
Narmada,Salemba 1,7.31,1011,677,0,207,199.0,20.0,37.0,0.37,170,104,12.0,310,87.0,0.5,2.2
Narmada,Umaran,7.53,560,375,0,207,50.0,28.0,15.0,0.27,170,56,24.0,240,20.0,0.1,0.6
Navsari,Chadau,7.5,878,588,0,366,85.0,7.9,41.0,0.63,300,48,68.0,400,32.0,1.1,21.1
Navsari,Chhinam,8.27,3040,2037,0,769,469.0,28.0,109.0,0.23,630,48,63.0,380,285.0,415.0,20.8
Navsari,Dandi,7.75,1274,854,0,476,128.0,26.0,90.0,0.19,390,44,54.0,330,112.0,65.5,19.5
Navsari,Doldha,7.62,467,313,0,244,28.0,11.0,16.0,0.36,200,44,22.0,200,28.0,0.5,18.5
Navsari,Duwada,7.97,1020,683,0,427,71.0,6.6,97.0,0.91,350,36,56.0,320,100.0,1.2,18.6
Navsari,Kaliyari,7.78,620,415,0,244,57.0,16.0,11.0,0.26,200,76,17.0,260,22.0,2.4,27.4
Navsari,Khergam,7.44,743,498,0,268,78.0,16.0,31.0,0.23,220,60,29.0,270,43.0,0.3,21.8
Navsari,Mandav khadak,7.63,676,453,0,354,50.0,7.1,27.0,0.77,290,76,22.0,280,47.0,1.1,26.0
Navsari,Navsari,7.87,4187,2805,0,549,952.0,10.0,137.0,0.57,450,216,229.0,1480,277.0,9.6,42.5
Navsari,Onjal,7.97,912,611,0,390,99.0,13.0,28.0,0.39,320,44,34.0,250,108.0,5.6,18.6
Navsari,Rumla,7.73,779,522,0,293,78.0,29.0,29.0,0.26,240,76,32.0,320,45.0,0.6,24.6
Navsari,Sarikhurd,8.08,1069,716,0,366,114.0,17.0,35.0,0.14,300,28,36.0,220,135.0,18.0,15.9
Panchmahal,Dhanol,7.16,696,466,0,281,78.0,7.8,30.0,1.9,230,36,2.0,100,117.0,11.0,5.1
Panchmahal,Gadhar,7.65,882,591,0,293,99.0,22.0,61.0,0.73,240,64,34.0,300,66.0,3.2,1.7
Panchmahal,Godhra2,7.66,728,488,0,232,57.0,59.0,60.0,1.5,190,72,24.0,280,52.0,0.96,1.4
Panchmahal,Jambugoda,7.02,755,506,0,268,71.0,85.0,25.0,0.68,220,68,22.0,260,67.0,0.95,1.8
Panchmahal,Kothamba,7.38,1206,808,0,342,191.0,29.0,90.0,0.69,280,64,41.0,330,146.0,1.8,3.5
Panchmahal,Malekpur1,7.42,644,431,0,268,57.0,13.0,43.0,0.76,220,48,29.0,240,48.0,1.7,1.3
Panchmahal,Natapur,7.39,707,474,0,244,71.0,36.0,34.0,1.6,200,64,22.0,250,61.0,2.0,1.7
Panchmahal,Ranipura,7.48,1927,1291,0,390,355.0,138.0,89.0,2.4,320,84,117.0,691,170.0,4.3,2.8
Panchmahal,Santrampur1,7.32,850,570,0,244,135.0,16.0,49.0,0.62,200,68,29.0,290,70.0,0.72,1.8
Panchmahal,Santroad_1,7.35,675,452,0,293,50.0,15.0,28.0,0.62,240,60,27.0,260,46.0,2.6,1.2
Panchmahal,Tarkanda,7.5,478,320,0,195,50.0,4.5,27.0,0.68,160,52,12.0,180,38.0,1.6,1.2
Panchmahal,Tuwa,8.18,714,478,0,354,50.0,4.2,16.0,0.6,290,68,4.9,190,76.0,10.0,2.4
Panchmahal,Vejalpur,7.64,1607,1077,0,378,305.0,44.0,87.0,1.2,310,64,100.0,570,138.0,6.4,2.5
Panchmahals,Chhabanpur,7.22,689,462,0,268,50.0,53.0,32.0,0.66,220,56,19.0,220,63.0,1.3,1.8
Panchmahals,Godhra UR_3,7.86,2723,1824,0,378,581.0,4.7,179.0,1.6,310,144,148.0,971,174.0,3.2,2.4
Panchmahals,Javan,7.68,318,213,0,122,28.0,4.2,19.0,0.28,100,32,4.9,100,21.0,8.3,0.9
Panchmahals,Kalol UR_2,7.95,1846,1237,0,464,298.0,105.0,95.0,0.54,380,32,117.0,560,186.0,0.58,3.4
Panchmahals,Kantha,7.87,858,575,0,281,99.0,12.0,51.0,0.82,230,48,19.0,200,101.0,1.4,3.1
Panchmahals,Khadki Vadiya,8.22,1487,996,0,659,85.0,4.0,140.0,2.2,540,16,80.0,370,210.0,1.4,19.5
Panchmahals,Khanpur,7.05,684,458,0,268,71.0,32.0,31.0,0.15,220,56,27.0,250,52.0,0.7,1.4
Panchmahals,Limbadia peti,7.89,792,531,0,390,71.0,7.0,40.0,0.97,320,32,58.0,320,69.0,1.3,14.2
Panchmahals,Lunawada,7.58,1150,771,0,354,170.0,57.0,47.0,0.76,290,116,34.0,430,71.0,20.0,1.5
Panchmahals,Pandarvada,7.52,560,375,0,256,43.0,6.3,16.0,0.76,210,44,22.0,200,48.0,0.55,1.5
Panchmahals,Pavagadh,7.85,886,594,0,390,78.0,27.0,35.0,0.32,320,104,32.0,390,40.0,2.5,0.9
Panchmahals,Shehra,8.3,1350,905,0,647,114.0,9.0,45.0,0.41,530,24,43.0,240,153.0,119.0,15.9
Patan,Dhinoj,7.49,2315,1551,0,366,475.0,7.4,134.0,0.34,300,40,80.0,430,275.0,30.0,5.8
Patan,Moti Chander,7.48,26520,17768,0,598,9217.0,104.0,1040.0,1.2,490,589,883.0,5104,4350.0,60.0,26.5
Patan,Piprala,8.2,6657,4460,0,866,1553.0,132.0,400.0,8.6,710,40,92.0,480,1360.0,1.1,27.0
Patan,Sander,7.92,540,362,0,281,35.0,4.3,13.0,0.8,230,48,17.0,190,42.0,5.5,1.3
Patan,Sankhari,7.82,605,405,0,305,43.0,6.3,17.0,1.1,250,32,17.0,150,77.0,7.5,2.7
Porbanadar,Adityana,7.33,925,620,0,439,64.0,24.0,17.0,1.5,360,36,24.0,190,146.0,1.5,4.6
Porbanadar,Advana,7.08,2058,1379,0,927,220.0,10.0,30.0,1.0,760,140,97.0,751,174.0,6.0,2.8
Porbanadar,Bakhrala,7.0,1911,1280,0,415,319.0,113.0,64.0,0.63,340,88,54.0,440,250.0,7.5,5.2
Porbanadar,Balej,7.26,13090,8770,0,354,4098.0,46.0,341.0,0.26,290,417,328.0,2392,1792.0,148.0,16.0
Porbanadar,Bhavpura,7.57,5642,3780,0,244,1491.0,34.0,183.0,0.29,200,360,109.0,1350,607.0,75.0,7.2
Porbanadar,Degam,7.04,7873,5275,0,183,2379.0,53.0,107.0,0.56,150,700,158.0,2400,689.0,53.0,6.1
Porbanadar,Kadegi,7.02,7622,5107,0,488,2070.0,1.4,351.0,0.74,400,192,156.0,1121,1275.0,6.2,17.0
Porbanadar,Kandorna Rana,6.98,3255,2181,0,317,766.0,57.0,160.0,2.35,260,128,73.0,620,452.0,3.0,7.9
Porbanadar,Khambodar,7.5,387,259,0,159,28.0,6.7,17.0,0.41,130,40,10.0,140,25.0,4.2,0.9
Porbanadar,Kolikhada,7.56,1778,1191,0,720,184.0,28.0,41.0,5.0,590,20,19.0,130,370.0,1.2,14.0
Porbanadar,Kuchhadi,7.63,6927,4641,0,342,1917.0,6.9,350.0,0.7,280,80,109.0,650,1310.0,97.0,22.3
Porbanadar,Kutiyana,7.25,5830,3906,0,378,1439.0,148.0,416.0,1.7,310,236,170.0,1291,766.0,58.0,9.3
Porbanadar,Mocha,7.11,9800,6566,0,342,3035.0,16.0,267.0,0.04,280,453,109.0,1581,1528.0,26.0,17.0
Porbanadar,Mojiwana,7.18,7021,4704,0,244,2024.0,32.0,350.0,0.41,200,460,207.0,2000,774.0,1.8,7.5
Porbanadar,Odadar,7.04,13200,8844,0,268,4467.0,6.4,62.0,1.4,220,192,384.0,2062,2098.0,65.0,20.0
Porbanadar,Palkhada,7.48,4525,3032,0,354,959.0,214.0,274.0,0.38,290,260,85.0,1000,542.0,43.0,7.5
Porbanadar,Porbandar,7.15,1914,1282,0,537,298.0,4.3,109.0,0.57,440,40,49.0,300,320.0,24.0,8.0
Porbanadar,Ranavav,7.35,767,514,0,293,71.0,16.0,22.0,0.86,240,60,10.0,190,87.0,1.1,2.7
Porbanadar,Ratadi,7.92,4248,2846,0,549,888.0,30.0,310.0,1.2,450,100,36.0,400,824.0,7.4,17.9
Porbanadar,Ratiya,7.22,3199,2143,0,390,744.0,137.0,94.0,0.39,320,152,46.0,570,400.0,145.0,7.3
Porbanadar,Simar,7.26,377,253,0,195,28.0,1.4,9.6,0.24,160,32,15.0,140,29.0,1.9,1.1
Porbanadar,Tukada,6.98,785,526,0,293,92.0,9.6,17.0,0.42,240,72,15.0,240,55.0,42.0,1.5
Porbanadar,Visavada,7.48,5970,4000,0,268,1811.0,32.0,280.0,1.29,220,420,24.0,1150,841.0,75.0,10.8
Rajkot,Amarnagar,8.13,14430,9668,0,610,4544.0,2.5,654.8,0.81,500,180,766.0,3600,1900.0,3.1,13.8
Rajkot,Bhada Jodiya,7.67,1698,1138,0,73,462.0,5.8,63.0,0.42,60,108,29.0,390,184.0,2.0,4.1
Rajkot,Bhadla,7.82,3407,2283,0,122,923.0,28.0,183.0,0.42,100,176,112.0,900,275.0,3.7,4.0
Rajkot,Bhalgam,7.75,508,340,0,171,99.0,11.0,0.0,0.39,140,40,27.0,210,32.0,2.01,0.9
Rajkot,Chhatar,8.29,619,415,0,293,71.0,16.0,43.0,0.75,240,76,10.0,230,70.0,0.38,2.0
Rajkot,Chordi,7.86,2490,1668,0,73,653.0,54.0,66.0,0.25,60,224,68.0,840,118.5,1.18,1.8
Rajkot,Dadiya,8.03,507,340,0,183,43.0,38.0,29.0,0.52,150,44,19.0,190,42.0,0.81,1.3
Rajkot,Dhorajee,7.97,541,362,0,171,85.0,2.8,30.0,0.37,140,32,29.0,200,46.0,3.6,1.4
Rajkot,Ganod,7.86,5660,3792,0,427,1243.0,36.0,700.0,3.5,350,100,134.0,800,936.0,0.61,14.4
Rajkot,Gogavadar,8.19,969,649,0,281,114.0,46.0,67.0,0.51,230,68,36.0,320,90.0,2.05,2.2
Rajkot,Hadmatiya,8.04,982,658,0,256,135.0,30.0,85.0,0.67,210,48,51.0,330,95.0,0.8,2.3
Rajkot,Halenda,8.21,1323,886,0,415,234.0,15.0,56.0,0.49,340,68,83.0,510,102.0,2.4,2.0
Rajkot,Jasapar,7.82,1265,848,0,378,185.0,34.0,83.0,0.65,310,104,78.0,580,62.0,3.2,1.1
Rajkot,Jasdan,8.03,1649,1105,0,256,320.0,54.0,76.0,0.34,210,64,107.0,600,102.5,1.6,1.8
Rajkot,Jetpur Pithad,8.13,573,384,0,220,78.0,5.3,26.0,0.23,180,28,34.0,210,50.0,4.3,1.5
Rajkot,kamlapur,7.76,4196,2811,0,146,1051.0,236.0,239.0,0.55,120,360,151.0,1520,274.0,0.89,3.1
Rajkot,Lalavadar,7.96,710,476,0,378,43.0,7.6,18.0,0.13,310,104,7.3,290,50.0,0.84,1.3
Rajkot,Machhu Kunda,8.12,1570,1052,0,354,284.0,13.0,114.0,1.9,290,64,44.0,340,197.0,0.03,4.6
Rajkot,Maliya,8.2,695,466,0,329,57.0,4.7,41.0,0.5,270,36,36.0,240,63.0,12.0,1.8
Rajkot,Morvi,8.15,531,356,0,195,64.0,3.7,29.0,0.35,160,28,27.0,180,50.0,3.3,1.6
Rajkot,Mota Gundala,8.14,570,382,0,268,57.0,8.0,14.0,0.86,220,20,24.0,150,80.0,0.57,2.8
Rajkot,Mota Gundala,8.0,4257,2852,0,146,1136.0,40.0,222.0,0.45,120,80,190.0,980,485.0,24.0,6.7
Rajkot,Motadadva,8.15,1454,974,0,293,249.0,86.0,74.0,0.37,240,128,61.0,570,91.0,0.83,1.7
Rajkot,Movaiya,8.14,1991,1334,0,281,391.0,37.0,184.0,0.0,230,72,92.0,560,176.0,7.9,3.2
Rajkot,Neknam,7.57,8364,5604,0,244,2556.0,273.0,548.0,0.67,200,360,572.0,3250,727.0,1.17,5.5
Rajkot,Patan Vav,8.18,607,407,0,342,36.0,3.6,20.0,0.68,280,20,34.0,190,69.0,1.6,2.2
Rajkot,Pedhla,7.77,2550,1709,0,244,639.0,48.0,57.0,0.55,200,216,117.0,1020,103.0,4.3,1.4
Rajkot,Ribda,7.83,961,644,0,354,149.0,39.0,63.0,0.25,290,140,15.0,410,75.0,0.59,1.6
Rajkot,Sardhar,8.18,1868,1252,0,671,270.0,32.0,64.0,0.19,550,80,51.0,410,235.0,87.0,5.0
Rajkot,Sindhavadar,8.19,1172,785,0,366,149.0,57.0,58.0,1.58,300,36,39.0,250,162.0,0.37,4.4
Rajkot,Targhari,7.98,1700,1139,0,342,355.0,29.0,104.0,0.49,280,36,126.0,610,143.0,1.8,2.5
Rajkot,Umrali,7.97,1821,1220,0,183,369.0,45.0,141.0,0.47,150,16,109.0,490,176.0,1.2,3.5
Rajkot,Upleta,8.36,2715,1819,96,634,284.0,89.0,118.0,4.8,680,40,24.0,200,500.0,1.47,15.4
Rajkot,Virnagar,8.29,1008,675,0,293,156.0,17.0,42.0,0.35,240,68,46.0,360,80.0,4.8,1.8
Rajkot,Virpur,8.12,1706,1143,0,366,263.0,148.0,98.0,0.25,300,116,61.0,540,145.5,3.0,2.7
Sabarkantha,Alwa Kampa,8.09,850,570,0,415,64.0,18.0,39.0,0.61,340,24,63.0,320,81.0,0.5,17.5
Sabarkantha,Atarsumba_2,7.65,850,570,0,207,135.0,12.0,50.0,0.35,170,44,46.0,300,59.0,1.7,19.2
Sabarkantha,Bhadreshwar(Daramli),7.54,2190,1467,0,659,326.0,14.0,188.0,2.0,540,104,71.0,550,303.0,4.7,5.6
Sabarkantha,Bibipur1,7.56,1425,955,0,232,191.0,169.0,64.0,0.33,190,108,66.0,540,70.0,1.9,1.3
Sabarkantha,Boral,7.88,2914,1952,0,451,567.0,145.0,143.0,0.61,370,72,134.0,731,337.0,1.0,5.4
Sabarkantha,Boriya,7.63,2594,1738,0,232,560.0,125.0,108.0,0.52,190,112,112.0,741,210.0,0.75,3.4
Sabarkantha,Chandap_DW,7.49,1275,854,0,256,248.0,35.0,62.0,0.78,210,84,39.0,370,130.0,3.5,2.9
Sabarkantha,Choriwad,7.89,2174,1457,0,329,432.0,220.0,73.0,0.73,270,329,56.0,1051,70.0,2.9,0.9
Sabarkantha,Dhansura,7.52,1135,760,0,354,142.0,60.0,64.0,0.54,290,84,66.0,480,68.0,0.86,1.3
Sabarkantha,Gadada,7.81,1659,1112,0,268,241.0,65.0,250.0,0.92,220,44,112.0,570,142.0,6.2,23.4
Sabarkantha,Gadha1,7.78,2631,1763,0,268,546.0,87.0,265.0,1.7,220,84,41.0,380,414.0,1.7,9.2
Sabarkantha,Hamirpur,7.68,1106,741,0,183,213.0,38.0,46.0,0.74,150,80,36.0,350,74.0,0.77,1.7
Sabarkantha,Harsol1,8.2,1598,1071,0,793,106.0,18.0,69.0,1.7,650,56,46.0,330,255.0,1.9,6.1
Sabarkantha,Hingatiya,7.58,2558,1714,0,317,539.0,8.1,200.0,1.7,260,92,117.0,711,255.0,7.7,4.2
Sabarkantha,Idar,7.63,1026,687,0,195,121.0,139.0,64.0,5.5,160,84,29.0,330,95.0,1.1,2.3
Sabarkantha,Karanpur,7.8,693,464,0,256,78.0,44.0,20.0,0.74,210,16,49.0,240,63.0,0.3,14.9
Sabarkantha,Kesharpura,7.73,1110,744,0,183,191.0,95.0,63.0,0.77,150,124,22.0,400,67.0,2.1,1.5
Sabarkantha,Khedbramha_1,7.35,3166,2121,0,195,808.0,71.0,147.0,0.74,160,325,54.0,1031,195.0,2.6,2.6
Sabarkantha,Malpur_1,7.76,775,519,0,256,57.0,115.0,36.0,0.69,210,48,58.0,360,30.0,0.3,20.6
Sabarkantha,Mathasuliya,7.63,1395,935,0,244,199.0,141.0,86.0,0.21,200,36,78.0,410,107.0,35.0,20.2
Sabarkantha,Matoda,7.0,3963,2655,0,134,1056.0,16.0,250.0,0.68,110,313,56.0,1011,410.0,15.0,5.6
Sabarkantha,Medasana,7.26,922,618,0,305,99.0,51.0,36.0,0.72,250,60,36.0,300,86.0,1.1,2.2
Sabarkantha,Megraj_1,7.68,953,639,0,281,149.0,3.0,63.0,0.54,230,40,19.0,180,159.0,2.2,5.2
Sabarkantha,Modasa2,7.75,1002,671,0,183,142.0,39.0,76.0,0.28,150,68,24.0,270,84.0,2.6,2.2
Sabarkantha,Poshina2,7.78,1511,1012,0,439,220.0,5.0,129.0,1.0,360,112,61.0,530,120.0,35.0,2.3
Sabarkantha,Punasan,7.72,623,417,0,232,71.0,11.0,27.0,0.52,190,44,19.0,190,58.0,0.22,1.8
Sabarkantha,Revas,7.67,1603,1074,0,207,269.0,170.0,56.0,0.85,170,120,63.0,560,84.0,0.85,1.5
Sabarkantha,Sabalwad,7.85,967,648,0,244,99.0,69.0,99.0,5.0,200,60,29.0,270,102.0,0.88,2.6
Sabarkantha,Sathamba,7.82,960,643,0,354,106.0,30.0,37.0,0.64,290,52,58.0,370,59.0,0.38,1.3
Sabarkantha,Seenawad,7.28,1608,1077,0,183,312.0,104.0,101.0,0.52,150,140,49.0,550,122.0,2.3,2.3
Sabarkantha,Shamlaji,8.19,548,367,0,268,43.0,2.7,16.0,0.47,220,64,7.3,190,45.0,1.6,1.4
Sabarkantha,Silwad,7.6,5031,3371,0,366,1335.0,113.0,205.0,0.91,300,72,321.0,1500,475.0,11.0,36.4
Sabarkantha,Umedpura,7.56,1279,857,0,439,155.98,78.0,39.0,1.6,360,40,66.0,370,137.0,0.51,3.1
Sabarkantha,Vadali,7.38,1390,931,0,207,213.0,138.0,78.0,1.2,170,108,36.0,420,118.0,3.6,2.5
Sabarkantha,Virpur_1(Himmat),7.75,455,305,0,195,28.0,27.0,16.0,0.58,160,48,15.0,180,23.0,0.24,0.7
Sabarkantha,Virpur2,7.25,1215,814,0,207,220.0,76.0,60.0,0.94,170,88,44.0,400,82.0,21.0,1.8
Surat,Allu,7.95,665,446,0,354,28.0,20.0,26.0,1.0,290,24,58.0,300,35.0,0.4,17.1
Surat,Bedchit,7.64,1620,1085,0,427,284.0,31.0,56.0,0.66,350,24,139.0,630,97.0,0.6,25.7
Surat,Bhatkol,7.85,937,628,0,366,114.0,1.7,50.0,0.86,300,40,61.0,350,72.0,1.8,19.5
Surat,Digas,8.1,1084,726,0,622,50.0,53.0,61.0,0.63,510,28,68.0,350,156.0,1.8,19.7
Surat,Jesingpura (S),7.84,717,480,0,427,21.0,13.0,10.0,0.12,350,40,56.0,330,30.0,0.7,19.2
Surat,Jiav,7.52,1217,815,0,293,227.0,9.9,31.0,0.16,240,72,58.0,420,91.0,12.0,24.0
Surat,Juna Umarpada,7.66,427,286,0,207,28.0,1.4,42.0,0.28,170,40,27.0,210,21.0,0.5,17.6
Surat,Kadod,8.0,1066,714,0,512,92.0,23.0,28.0,0.61,420,24,80.0,390,97.0,3.2,19.0
Surat,Kathor,7.86,1673,1121,0,592,185.0,26.0,152.0,0.5,485,24,107.0,500,198.0,1.2,21.0
Surat,Katradevi,7.71,876,587,0,220,142.0,14.0,41.0,0.34,180,28,34.0,210,105.0,0.5,15.7
Surat,Kelkui,7.83,498,334,0,256,35.0,12.0,12.0,0.24,210,24,39.0,220,29.0,0.5,15.3
Surat,Kherwada,7.83,635,425,0,281,50.0,19.0,15.0,0.39,230,24,49.0,260,34.0,0.1,16.2
Surat,Mandvi,7.5,1247,835,0,439,121.0,22.0,53.0,0.51,360,24,83.0,400,95.0,0.5,19.1
Surat,Mota,8.05,2558,1714,0,646,462.0,18.0,110.0,0.92,530,24,61.0,310,465.0,1.6,17.3
Surat,Moti Sarkui,7.77,709,475,0,281,50.0,35.0,19.0,0.41,230,24,51.0,270,37.0,0.2,16.4
Surat,Nizar ( new well),7.92,925,620,0,464,50.0,42.0,36.0,1.12,380,44,51.0,320,95.0,0.4,19.5
Surat,Olpad,7.97,1158,776,0,500,113.0,17.0,51.0,0.77,410,28,53.0,290,154.0,4.4,17.3
Surat,Palsana,7.78,976,654,0,488,71.0,11.2,18.0,0.06,400,28,58.0,310,101.0,13.0,17.7
Surat,Paneshwar,7.59,1694,1135,0,232,369.0,32.0,100.0,0.33,190,32,114.0,550,137.0,0.9,22.4
Surat,Sarbhon,8.08,1128,756,0,403,128.0,6.9,63.0,1.35,330,20,75.0,360,105.0,2.6,18.1
Surat,Saroli,8.01,1440,965,0,671,121.0,17.0,47.0,1.01,550,24,34.0,200,205.0,97.0,14.9
Surat,sayan,7.83,1930,1293,0,451,398.0,27.0,116.0,0.42,370,36,156.0,730,162.0,0.6,25.4
Surat,Sultanbaugh,8.03,1140,764,0,464,107.0,45.0,57.0,0.18,380,40,68.0,380,102.0,29.0,20.0
Surat,Uchhal,7.52,1003,672,0,427,78.0,66.0,36.0,0.35,350,100,49.0,450,42.0,0.3,26.9
