Sl.,District,Site,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F, Alk,Ca,Mg,TH,Na,K,SAR
240,Jamnagar,Kalyanpur2,7.4,1491,998.97,0,244,291,83,68,0.3,200,44,107,550,89,0.75,1.65
241,Jamnagar,Kesia,7.43,5555,3721.85,0,214,1702,28,175,0.2,176,60,304,1400,650,0.87,7.55
242,Jamnagar,Khirsara,7.32,1250,837.5,0,171,269,46,60,0.4,140,76,9,225,183,0.42,5.3
243,Jamnagar,Kuvadia,7.29,700,469,0,281,43,33,28,0.49,230,62,22,245,47,0.12,1.31
244,Jamnagar,Lalpur1,7.52,1170,783.9,0,220,220,35,64,0.38,180,76,27,300,128,1.56,3.21
245,Jamnagar,Lambha 1,7.32,1850,1239.5,0,159,468,1,130,0.44,130,68,51,380,251,3.2,5.6
246,Jamnagar,Mewasha,7.09,788,527.96,0,122,191,3,18,0.39,100,36,27,200,88,2.49,2.71
247,Jamnagar,Modpar,7.22,925,619.75,0,244,142,33,38,0.88,200,60,19,230,105,3.02,3.01
248,Jamnagar,Mojap,7.12,6211,4161.37,0,610,1482,252,312,0.86,500,344,195,1660,660,9.71,7.04
249,Jamnagar,Mota Kalawad,7.48,3010,2016.7,0,305,780,74,102,0.23,250,334,113,1300,90,1.21,1.09
250,Jamnagar,Motagop,7.23,1055,706.85,0,342,99,67,55,0.28,281,70,61,425,46,0.12,0.97
251,Jamnagar,Moti Khavdi,7.09,1920,1286.4,0,500,234,65,160,0.24,410,44,126,630,152,0.27,2.63
252,Jamnagar,Moti Matli,7.53,1830,1226.1,0,293,362,83,93,0.56,240,48,24,220,321,0.64,9.41
253,Jamnagar,Nikava,7.41,1160,777.2,0,305,135,100,59,0.38,250,72,56,410,78,0.17,1.67
254,Jamnagar,Pindara1,7.47,1020,683.4,0,207,170,2,93,0.9,170,60,32,280,101,6.75,2.62
255,Jamnagar,Raval,7.53,3644,2441.48,0,427,922,44,113,0.18,350,140,231,1300,232,0.85,2.8
256,Jamnagar,Salaya,7.56,1050,703.5,0,305,124,61,55,0.39,250,80,27,310,93,11.75,2.3
257,Jamnagar,Samrasar1,7.43,1995,1336.65,0,549,291,27,107,4.6,450,76,63,450,231,33.34,4.73
258,Jamnagar,Seth Vadala,7.23,1555,1041.85,0,415,177,112,91,0.32,340,124,46,500,127,0.31,2.47
259,Jamnagar,Sumana,7.69,1300,871,0,311,184,68,79,0.84,255,68,54,390,117,0.64,2.58
260,Jamnagar,Toda,7.56,750,502.5,0,256,67,24,50,0.63,210,52,22,220,73,2.32,2.14
261,Jamnagar,Vad Panchasara,7.28,1957,1311.19,0,256,355,175,113,0.36,210,164,41,580,177,0.23,3.2
262,Jamnagar,Vadtara,7.39,1250,837.5,0,256,220,50,61,0.35,210,100,24,350,123,2.82,2.86
263,Jamnagar,Vamansa,7.55,2905,1946.35,0,494,610,16,164,2.9,405,60,63,410,471,4.81,10.11
264,Jamnagar,Varwada or Varvala,6.98,3950,2646.5,0,549,805,48,323,0.49,450,300,219,1650,131,15.5,1.4
265,Jamnagar,Vijarkhi,7.46,912,611.04,0,305,113,7,36,0.68,250,80,19,280,82,0.47,2.13
266,Jamnagar,Vinjhalpur,7.49,1070,716.9,0,354,113,36,50,0.45,290,96,32,370,73,1.03,1.65
267,Junagadh,Anandpur,8.62,1920,1286.4,0,159,504,64,65,0.57,130,100,105,680,125,1.41,2.08
268,Junagadh,Arena,6.94,5558,3723.86,0,610,1425,60,210,0.11,500,72,175,900,830,39.13,12.03
269,Junagadh,Bamanwara,7.44,340,227.8,0,98,46,5,18,0.19,80,24,17,130,17,1.43,0.65
270,Junagadh,Bantva,8.04,1200,804,0,476,113,12,40,3,390,20,15,110,226,0.29,9.37
271,Junagadh,Bhat_Simroli,7.23,1820,1219.4,0,482,312,11,68,0.55,395,112,44,460,205,6.71,4.16
272,Junagadh,Bilkha,7.45,1560,1045.2,0,311,234,79,110,0.47,255,80,27,310,195,6.24,4.82
273,Junagadh,Budhecha,6.97,2200,1474,0,427,418,54,108,0.6,350,100,95,640,210,1.14,3.61
274,Junagadh,Chokhli,7.14,1685,1128.95,0,500,149,163,84,0.48,410,84,83,550,137,0.27,2.54
275,Junagadh,Chorwad,7.04,4890,3276.3,0,702,1206,77,92,0.13,576,220,224,1470,443,1.69,5.02
276,Junagadh,Galodar,7.77,780,522.6,0,232,99,6,50,0.29,190,44,46,300,40,1.4,1
277,Junagadh,Goraj1,7.83,1150,770.5,0,366,121,57,49,1.5,300,56,56,370,90,1.69,2.03
278,Junagadh,Junagadh1,6.98,1207,808.69,0,329,156,48,60,0.28,270,50,34,265,149,1.98,3.98
279,Junagadh,Juthal,7.48,820,549.4,0,207,135,5,44,0.37,170,60,36,300,48,1.6,1.2
280,Junagadh,Kalej,7.5,2150,1440.5,0,403,383,30,169,1.51,331,80,22,290,356,2.46,9.09
281,Junagadh,Kanedipur,7.13,880,589.6,0,378,64,8,29,0.38,310,104,7,290,66,0.24,1.69
282,Junagadh,Kanek,6.66,6701,4489.67,0,610,1830,23,255,0.15,500,688,56,1950,625,22.29,6.15
283,Junagadh,Kewarda,7.52,1060,710.2,0,342,128,41,45,0.33,281,68,63,430,44,1.76,0.92
284,Junagadh,Khambalia1,7.61,4830,3236.1,0,732,1241,20,50,0.18,600,242,105,1035,635,10.16,8.58
285,Junagadh,Khokharda,7.74,3525,2361.75,0,488,702,145,250,0.37,400,180,73,750,465,1.01,7.38
286,Junagadh,Khorada1,7.74,7880,5279.6,0,244,2482,14,216,0.22,200,680,109,2150,815,0.39,7.64
287,Junagadh,Khorasa_ Ahir,7.51,1215,814.05,0,171,234,77,72,0.49,140,124,17,380,105,0.37,2.34
288,Junagadh,Kukaswada,7.66,723,484.41,0,128,106,40,78,0.58,105,80,5,220,65,1.32,1.91
289,Junagadh,Lohej,7.24,1256,841.52,0,268,213,73,45,0.36,220,144,12,410,88,20.19,1.89
290,Junagadh,Maktupur1,7.11,3505,2348.35,0,549,745,155,115,0.28,450,180,90,820,248,300,3.77
291,Junagadh,Mangrol,7.51,2575,1725.25,0,366,596,44,98,0.27,300,120,56,530,325,36.57,6.14
292,Junagadh,Manketara,7.43,1922,1287.74,0,232,479,64,45,0.5,190,120,117,780,81,5.67,1.26
293,Junagadh,Mendarda1,7.44,2750,1842.5,0,354,645,134,62,0.44,290,56,168,830,248,0.83,3.74
294,Junagadh,Patla,7.56,660,442.2,0,226,71,12,31,0.41,185,96,5,260,31,0.29,0.84
295,Junagadh,Saradiya,7.76,2120,1420.4,0,610,241,54,163,0.33,500,128,75,630,196,0.48,3.4
296,Junagadh,Sepa,7.21,1065,713.55,0,329,113,65,49,0.47,270,62,13,210,146,0.77,4.38
297,Junagadh,Seriakhan,7.24,1250,837.5,0,305,177,64,67,0.5,250,100,44,430,82,14.48,1.72
298,Junagadh,Shardagram,7.36,9450,6331.5,0,305,3021,21,204,0.21,250,280,474,2650,975,8.95,8.23
299,Junagadh,Sil,7.59,700,469,0,232,78,22,29,0.22,190,84,15,270,36,1.08,0.95
300,Junagadh,Sil_ Bandar,7.61,13506,9049.02,0,793,4106,5,213,0.19,650,224,314,1850,2192,70.34,22.16
301,Junagadh,Vadal,7.76,1540,1031.8,0,317,262,75,76,0.32,260,60,95,540,96,1.94,1.8
302,Junagadh,Vanthali II,7.78,2000,1340,0,659,245,40,75,0.63,541,40,90,470,242,0.46,4.85
303,Junagadh,Jetalvad,8.15,769,515,0,183,99,76,53,0.1,150,28,58,310,51,0.39,1.26
304,Junagadh,Mandawad,8.22,760,509,0,220,135,3.1,44,0.17,180,36,49,290,57,1.9,1.46
305,Junagadh,Prempara,8.2,952,638,0,207,121,92,98,0.28,170,60,56,380,55,0.54,1.23
306,Junagadh,KasiaNaka Checkpost,7.9,696,466,0,342,50,2.2,33,0.19,280,52,39,290,44,0.16,1.12
307,Junagadh,Ajotha,7.72,1563,1047,0,220,376,41,80,0.39,180,100,61,500,138,1.6,2.68
308,Junagadh,Govindpura2,7.37,667,447,0,281,71,20,19,0.53,230,76,22,280,38,1.5,0.99
309,Junagadh,Moraj,7.76,1068,716,0,159,262,15,37,0.93,130,76,15,250,130,0.32,3.57
310,Junagadh,Talala1,7.68,758,508,0,329,78,14,26,0.26,270,56,32,270,67,1,1.77
311,Junagadh,Jambur(madhapar),7.74,748,501,0,329,78,6.7,24,0.23,270,60,36,300,50,0.88,1.26
312,Junagadh,AmverVelnes,7.99,615,412,0,281,43,7.5,41,0.28,230,68,22,260,35,1.1,0.94
313,Junagadh,Jamvala1,7.83,478,320,0,220,43,5.9,17,0.34,180,44,19,190,34,0.35,1.07
314,Junagadh,Bhimdeval,7.72,1030,690,0,329,135,44,60,0.59,270,80,34,340,90,2.6,2.12
315,Junagadh,Prasli,7.75,979,656,0,256,142,42,51,1.2,210,68,19,250,91,35,2.5
316,Junagadh,Kodinar1,7.82,2188,1466,0,305,581,44,87,0.8,250,104,100,671,230,0.93,3.86
317,Junagadh,Kesariyaji,7.84,1083,726,0,256,177,50,52,0.77,210,84,24,310,108,3.8,2.67
318,Junagadh,Una2,8.13,2965,1987,0,708,525,41,195,2.2,580,72,97,580,469,2.8,8.47
319,Junagadh,Kansari,7.67,1468,984,0,415,199,132,71,0.77,340,104,44,440,152,1.9,3.15
320,Junagadh,Jargla Jargli,8.07,570,382,0,268,50,2.5,21,0.34,220,76,12,240,32,0.42,0.9
321,Junagadh,Girgadhada,7.84,832,557,0,342,71,47,33,0.28,280,72,41,350,51,0.66,1.19
322,Junagadh,Dhokadva,8.21,721,483,0,354,50,3.5,23,0.22,290,44,49,310,40,2,0.99
323,Junagadh,Sametar,8.18,396,265,0,195,28,1.6,15,0.26,160,36,19,170,22,1.6,0.73
324,Kachchh,Rapar,7.9,3832,2567.44,0,305,710,44,731,1.07,250,244,114,1080,363,46,4.8
325,Kachchh,Lilpar,7.75,8480,5681.6,0,342,1882,60,1635,1.68,281,480,292,2400,1000,50,8.87
326,Kachchh,Desalpar,7.15,3560,2385.2,0,268,767,43,359,0.84,220,152,102,800,368,42,5.66
327,Kachchh,Ratanpur (Khadir),7.7,4410,2954.7,0,403,1172,1,228,1.01,331,116,109,740,608,18,9.72
328,Kachchh,Kuda,7.38,1626,1089.42,0,671,178,18,40,2.33,550,128,39,480,140,32,2.78
329,Kachchh,Kharoi,7.45,2300,1541,0,305,497,1,166,0.35,250,168,109,870,152,6.9,2.23
330,Kachchh,Sedat,7.92,782,523.94,0,268,107,0,42,0.19,220,60,44,330,48,3.6,1.15
331,Kachchh,Sukhpar,7.58,10550,7068.5,0,281,2982,175,2400,1.63,230,580,304,2700,1778,9,15
332,Kachchh,Bhuj,7.46,1302,872.34,0,281,234,22,171,0.68,230,132,34,470,125,14,2.51
333,Kachchh,Haboi,7.5,1641,1099.47,0,317,256,15,210,1.46,260,96,75,550,150,16,2.78
334,Kachchh,Lodai,7.45,4680,3135.6,0,390,873,4,867,0.92,320,200,146,1100,541,33,7.09
335,Kachchh,Khavda,7.87,2632,1763.44,0,329,511,2,235,0.55,270,116,71,580,318,21,5.74
336,Kachchh,Devisar,7.62,5480,3671.6,0,281,1456,16,351,2.85,230,344,156,1500,447,88,5.02
337,Kachchh,Ugardi,7.87,7730,5179.1,0,390,2095,42,846,0.65,320,228,195,1370,1184,7.4,13.9
338,Kachchh,Kharai,7.95,2420,1621.4,0,281,497,4,247,0.34,230,120,24,400,327,23,7.11
339,Kachchh,Naliya,8.68,1271,851.57,60,464,142,12,55,1.09,481,16,10,80,300,2.8,14.6
340,Kachchh,Tera,8.38,2748,1841.16,120,451,469,49,255,6.7,570,44,36,260,586,6.2,15.8
341,Kachchh,Mothara,8.2,1925,1289.75,0,317,447,1,187,0.8,260,48,41,290,396,2,10.1
342,Kachchh,Vinjan,7.83,727,487.09,0,378,57,1,57,0.71,310,52,51,340,51,5.9,1.2
343,Kachchh,Kotaya,8.25,1593,1067.31,0,464,277,20,107,4.05,381,40,36,250,325,1.3,8.94
344,Kachchh,Bhabhdai,7.89,6625,4438.75,0,439,1803,5,500,0.99,360,216,141,1120,1130,9.4,14.7
345,Kachchh,Ratanpur (maum),8.08,1518,1017.06,0,427,213,55,143,1.18,350,60,58,390,225,3.4,4.95
346,Kachchh,Dunai,7.96,1297,868.99,0,488,149,11,83,0.96,400,100,51,460,119,2.1,2.42
347,Kachchh,Kharoghoyha,8.66,3075,2060.25,60,281,540,11,380,5.45,331,24,24,160,659,1.3,22.7
348,Kachchh,Luni,7.98,2700,1809,0,586,547,18,86,0.89,481,84,54,430,422,13,8.85
349,Kachchh,Bhadreshwar,8.08,2345,1571.15,0,305,525,15,111,0.35,250,148,83,710,206,9.3,3.35
350,Kachchh,Shinaya,7.96,7375,4941.25,0,464,2016,2,508,1.16,381,232,109,1030,1380,7,18.7
351,Kachchh,Samkhiali,7.8,5550,3718.5,0,488,1448,100,250,3.8,400,160,195,1200,827,16,10.4
352,Kheda,Kapadvanj,7.18,1794,1202,0,805,142,37,30,2.5,661,44,22,200,336,14,10.3
353,Kheda,Ladvel,7.45,1975,1323,0,439,411,2,33,0.58,360,96,54,460,215,13,4.4
354,Kheda,Balasinor 1,7.12,953,639,0,342,113,14,34,0.52,280,104,24,360,55,0.6,1.3
355,Kheda,Bar,7.38,677,454,0,305,50,2.4,21,0.73,250,32,29,200,55,23,1.7
356,Kheda,Mahudha,7.73,2580,1729,0,683,411,18,123,0.75,560,60,90,520,341,34,6.5
357,Kheda,Alina,7.48,3129,2096,0,525,510,141,225,0.9,430,112,114,751,359,7,5.7
358,Kheda,Muliyad,7.32,6780,4543,0,305,1773,24,440,0.56,250,297,119,1231,855,7.6,10.6
359,Kheda,Dakor,7.54,1505,1008,0,561,177,5.1,36,1.2,460,44,54,330,182,8.3,4.4
360,Kheda,Kalesar,7.83,1198,803,0,647,64,9.3,41,1.5,530,28,54,290,178,0.68,4.5
361,Kheda,Kheda,7.31,7648,5124,0,390,2070.28,1.9,639,0.58,320,417,187,1811,911,5,9.3
362,Kheda,Shekhupura,8.98,3728,2498,36,1025,518,1.4,258,0.4,901,24,56,290,550,355,14
363,Kheda,Boriyavi,7.76,1132,758,0,525,99,23,24,0.58,430,36,41,260,145,17,3.9
364,Kheda,Alindra,7.48,625,419,0,348,28,1.4,17,0.67,285,32,39,240,45,3,1.3
365,Mahesana,Asjol,6.98,452,303,0,256,21,4.9,3.8,0.26,210,56,15,200,16,7.1,0.5
366,Mahesana,Bhandupara,7.36,1588,1064,0,500,233.97,8.4,126,0.59,410,52,51,340,227,12,5.4
367,Mahesana,Budasan,7.24,2398,1607,0,451,503,7.9,144,0.24,370,124,83,651,232,17,4
368,Mahesana,Dharpura,7.58,3160,2117,0,1208,326,1.1,193,2,991,52,54,350,610,41,14.2
369,Mahesana,Dosaj,7.25,4070,2727,0,598,922,78,313,0.61,490,80,100,610,579,162,10.2
370,Mahesana,Kheralu1,7.23,1610,1079,0,500,262,13,89,1.6,410,56,61,390,210,1.6,4.6
371,Mahesana,Maguna,7.52,3686,2470,0,952,709,7.6,245,0.73,781,44,219,1011,413,27,5.7
372,Mahesana,Panchot,7.73,1925,1290,0,512,319,9.8,177,0.49,420,64,56,390,245,77,5.4
373,Mahesana,Rampura1,7.03,810,543,0,414.868,57,8.8,15,0.51,340,56,41,310.248,63,1.7,1.6
374,Mahesana,Sihi,7.2,773,518,0,329.454,71,16,27,0.51,270,40,39,260.208,56,37,1.5
375,Mahesana,Tarabh,7.25,1036,694,0,463.676,113,7,27,0.29,380,64,51,370.296,84,11,1.9
376,Mahesana,Timba_1,7.02,785,526,0,378.262,64,3.8,17,0.77,310,92,22,320.256,39,3.9,0.9
377,Mahesana,Unawa,7.15,4076,2731,0,866.342,709,170,373,0.61,711,80,156,840.672,545,102,8.2
378,Mahesana,Unjha,7.25,3080,2064,0,658.908,461,137,277,1.1,540,56,100,550.44,459,80,8.5
379,Mahesana,Vidaj,7.37,1989,1333,0,561.292,284,24,78,0.58,460,56,36,290.232,211,160,5.4
380,Mahisagar,Limbadia peti,7.51,902,604.34,0,451,32,11,32,0.99,370,52,46,320,64,1.4,1.56
381,Mahisagar,Pandarvada,7.61,700,469,0,317,64,0.67,5,0.59,260,48,27,230,58,0.66,1.66
382,Mahisagar,Khanpur,7.55,970,649.9,0,232,85,40,102,0.41,190,72,24,280,86,0.91,2.23
383,Mahisagar,Malekpur1,7.76,730,489.1,0,232,71,12,88,0.69,190,60,2.5,160,100,2.8,3.44
384,Mahisagar,Godhar,7.5,1153,772.51,0,366,107,27,101,0.76,300,88,54,440,63,3.1,1.31
385,Mahisagar,Kantha,7.18,346,231.82,0,134,28,3.5,21,0.51,110,24,15,120,17,16,0.67
386,Mahisagar,Lunawada,7.29,1223,819.41,0,244,227,58,103,1.18,200,80,22,290,149,14.5,3.8
387,Mahisagar,Jokha,7.68,1025,686.75,0,427,57,13,110,1.17,350,80,22,290,119,9.5,3.04
388,Mahisagar,Kothamba,7.79,1307,875.69,0,415,149,21,75,0.84,340,76,29,310,154,2.79,3.8
389,Mahisagar,Santrampur1,7.8,952,637.84,0,342,114,11,36,0.66,281,92,2.5,240,110,2.54,3.09
390,Mata no madh,Mata no madh,7.63,1640,1098.8,0,268,312,19,204,0.8,220,124,29,430,225,10,4.72
391,Mata no madh,Lakhpat,7.98,1805,1209.35,0,281,369,1,254,0.43,230,116,78,610,199,6.8,3.5
392,Mata no madh,Moti cher,8.1,470,314.9,0,244,43,3,19,0.22,200,52,22,220,18,13,0.53
393,Morvi,Morvi,7.95,305,204,0,49,64,0.35,13,0.17,40,16,9.728,80,31,1.3,1.5
394,Morvi,Chhatar,7.69,1622,1087,0,281,312,59,128,0.72,230,120,58.368,540,127,0.85,2.38
395,Morvi,Maliya,7.7,531,356,0,256,35,3.1,16,0.4,210,48,17.024,190,33,7.1,1.04
396,Morvi,Lajai,7.36,3827,2564,0,207,1020.96,131,213,0.53,170,253,160.512,1291,261,3.3,3.16
397,Morvi,Modpar,7.64,2730,1829,0,232,681,2.5,149,0.35,190,72,39,340,422,7.4,10
398,Morvi,Hadmatiya,7.59,2528,1694,0,244,567,97,186,0.41,200,216,61,791,220,1.9,3.4
399,Morvi,Neknam,7.75,1338,896,0,354,170,84,109,0.45,290,96,49,440,110,0.92,2.3
400,Morvi,Mota Dhansura,7.72,2391,1602,0,329,553,2.9,166,0.48,270,136,51,550,283,12,5.2
401,Narmada,Jankh,7.71,620,415.4,0,293,35,15,22,0.45,240,76.152,19,270,21,0.1,0.56
402,Narmada,Umran,7.75,473,316.91,0,195,43,0.22,25,0.31,160,52.104,19,210,16,0.1,0.48
403,Narmada,Salemba,7.43,985,659.95,0,220,156,45,61,0.43,180,88.176,15,280,94,0.46,2.44
404,Narmada,Kanbipitha,7.79,515,345.05,0,232,35,10,23,0.36,190,44.088,32,240,20,0.13,0.56
405,Narmada,Khota Amba,7.89,598,400.66,0,329,21,12,20,0.32,270,80.16,22,290,15,1.1,0.38
406,Narmada,Ringani,7.95,574,384.58,0,342,14,1.2,7.7,0.29,281,56.112,32,270,21,0.11,0.56
407,Narmada,Hirapura,7.73,820,549.4,0,317,78,56,36,0.48,260,80.16,39,360,43,0.28,0.99
408,Narmada,Garudeshwar,7.69,1016,680.72,0,500,71,13,39,0.39,410,100,46,440,54,4.2,1.12
409,Navsari,Parujan,7.67,508,340.36,0,256,28,12,12,0.27,210,68,17,240,17,0.14,0.48
410,Navsari,Chinam,7.8,550,368.5,0,171,64,48,23,0.25,140,64,22,250,16,1.25,0.45
411,Navsari,Navsari 1,7.7,312,209.04,0,134,21,17,17,0.29,110,36,15,150,10,0.23,0.35
412,Navsari,Dandi,7.83,798,534.66,0,305,71,37,29,0.29,250,92,29,350,24,0.78,0.56
413,Navsari,Onjal,7.78,383,256.61,0,195,21,10,11,0.27,160,48,15,180,15,0.41,0.49
414,Navsari,Sari khurd,7.8,417,279.39,0,134,36,30,27,0.31,110,48,17,190,14,0.53,0.44
415,Navsari,Chandav,8.1,2760,1849.2,0,512,582,3,158,0.52,420,120,66,570,400,8.35,7.28
416,Navsari,Moti Valzar,8.23,818,548.06,0,427,50,7,13,0.4,350,88,19,300,62,14,1.56
417,Navsari,Doldha,8.08,821,550.07,0,268,92,42,56,0.28,220,100,27,360,45,0.47,1.03
418,Navsari,Kaliyari,8.06,355,237.85,0,159,28,6,16,0.28,130,32,15,140,24,0.66,0.88
419,Navsari,Rumla,8.07,432,289.44,0,183,36,0,30,0.44,150,40,22,190,21,0.44,0.66
420,Navsari,Manav Khadak,8.36,480,321.6,0,171,71,0,22,0.24,140,44,17,180,36,0.24,1.18
421,Panchmahals,Shehra,8.25,1255,840.85,0,549,107,7,34,0.41,450,72,19,260,72,166,1.94
422,Panchmahals,Chhabanpur,7.68,790,529.3,0,329,64,37,31,0.64,270,80,19,280,70,1.67,1.82
423,Panchmahals,Tuwa,7.8,872,584.24,0,366,99,14,25,0.51,300,88,15,280,80,21.8,2.08
424,Panchmahals,Dhanol,7.89,585,391.95,0,244,21,2.7,33,0.43,200,16,22,130,61,10.41,2.33
425,Panchmahals,Vejalpur,7.8,1724,1155.08,0,488,246,47,81,0.38,400,92,97,630,127,8.26,2.2
426,Panchmahals,Santroad_1,7.91,942,631.14,0,390,78,14,34,0.61,320,48,44,300,81,2.74,2.03
427,Panchmahals,Suliyat,7.26,1056,707.52,0,305,121,46,51,1.1,250,120,32,430,40,21.4,0.84
428,Panchmahals,Natapur,7.71,931,623.77,0,305,92,41,41,1.2,250,85,16,280,80,2,2.08
429,Panchmahals,Godhra2,8.1,980,656.6,0,329,78,75,60,1.2,270,80,15,260,105,0.9,2.83
430,Panchmahals,Godhra UR_1,7.8,1273,852.91,0,415,163,19,55,0.93,340,52,44,310,148,1,3.65
431,Panchmahals,Ranipura,7.98,2432,1629.44,0,500,412,157,106,1.1,410,136,112,800,200,3.98,3.07
432,Panchmahals,Khadki Vadiya,8.21,1242,832.14,0,587,71,3.1,58,2,481,20,78,370,123,1.42,2.78
433,Panchmahals,Kalol UR_1,8.23,209,140.03,0,85,21,5.3,9,0.3,70,32,4.9,100,5,3.13,0.22
434,Panchmahals,Kalol UR_2,8.04,1883,1261.61,0,537,298,84,52,0.3,440,20,148,660,155,0.6,2.62
435,Panchmahals,Tarkanda,7.88,827,554.09,0,195,107,17,53,0.48,160,60,29,270,50,2.8,1.32
436,Panchmahals,Pavagadh,8.15,900,603,0,293,107,39,21,0.35,240,48,68,400,25,0.29,0.54
437,Panchmahals,Shivrajpur,7.8,1317,882.39,0,256,270,12,40,0.4,210,80,68,480,80,0.39,1.59
438,Panchmahals,Javan,8.02,372,249.24,0,159,36,5.2,15,0.43,130,40,15,160,14,12.04,0.48
439,Panchmahals,Jambugoda,7.86,1049,702.83,0,281,136,32,32,0.76,230,44,56,340,73,1.25,1.72
440,Patan,Dhinoj,7.71,1585,1061.95,0,488,256,6,100,0.29,400,92,27,340,200,35,4.72
441,Patan,Sander,7.54,440,294.8,0,232,36,2,8,0.34,190,44,24,210,19,3.6,0.58
442,Patan,Patan,7.5,2100,1407,0,1086,121,58,90,3.2,891,80,54,420,300,37,6.36
443,Patan,Sankhari,7.83,460,308.2,0,232,28,3,11,0.58,190,32,17,150,36,10,1.29
444,Patan,Motichander,7.32,15570,10431.9,0,183,5361,9,583,0.3,150,300,637,3370,2280,45,17
445,Patan,Piprala,8.15,7336,4915.12,0,769,1882,134,494,6.95,631,68,165,850,1364,1.6,20.3
446,Porbandar,Adityana,7.15,1072,718.24,0,268,156,64,41,0.57,220,52,57,365,72,2.58,1.64
447,Porbandar,Adwana2,7.29,1503,1007.01,0,476,163,90,60,0.37,390,48,97,520,100,1.91,1.91
448,Porbandar,Babda,7.67,1760,1179.2,0,512,262,18,75,0.88,420,40,78,420,202,2.59,4.29
449,Porbandar,Bakharla,7.38,2416,1618.72,0,476,433,82,139,1.9,390,24,122,560,276,41.57,5.07
450,Porbandar,Balej,7.23,962,644.54,0,207,199,2,28,0.33,170,24,24,160,133,28.57,4.57
451,Porbandar,Bhavpura,7.17,4177,2798.59,0,183,1241,104,93,0.16,150,360,97,1300,350,7.56,4.22
452,Porbandar,Bhod,7.12,1310,877.7,0,342,199,54,52,0.52,281,88,17,290,164,2.79,4.19
453,Porbandar,Degam,7.95,2135,1430.45,0,207,532,22,123,2,170,52,49,330,276,2.69,6.61
454,Porbandar,Hanumangadh1,7.23,3412,2286.04,0,488,780,39,147,1.2,400,100,207,1100,251,4.25,3.29
455,Porbandar,Kadegi,7.42,12250,8207.5,0,427,3546,3,754,0.43,350,38,840,3550,1173,27.14,8.56
456,Porbandar,Kandorna_Rana,7.21,3580,2398.6,0,976,574,50,124,1.8,801,40,195,900,405,2.28,5.87
457,Porbandar,Khambodar,7.61,1660,1112.2,0,439,269,18,65,1.4,360,44,51,320,228,10.25,5.54
458,Porbandar,Kolikhada village-2,7.78,1772,1187.24,0,732,35,47,192,3.4,600,24,32,190,330,0.98,10.41
459,Porbandar,Kuchhadi,7.43,4221,2828.07,0,976,752,27,177,1.1,801,100,97,650,603,105.78,10.28
460,Porbandar,Kutiyana1,7.23,390,261.3,0,183,35,4,20,0.88,150,36,15,150,33,4.12,1.17
461,Porbandar,Miyani,7.22,2074,1389.58,0,488,277,170,86,0.16,400,52,12,180,361,46.27,11.7
462,Porbandar,Mocha,7.18,6800,4556,0,366,2199,14,28,0.09,300,220,298,1775,751,30.66,7.75
463,Porbandar,Mojiwana,7.41,1340,897.8,0,403,177,21,65,0.73,331,24,41,230,201,1.58,5.76
464,Porbandar,Navibandar,7.12,810,542.7,0,195,121,39,44,0.42,160,40,27,210,80,7.16,2.4
465,Porbandar,Oddar(Gosa),7.52,8810,5902.7,0,366,2624,30,440,0.63,300,100,420,1975,1125,42,11.01
466,Porbandar,Palkhada1,7.36,2950,1976.5,0,354,660,117,178,0.5,290,44,133,655,363,40.89,6.17
467,Porbandar,Pata(पाता),7.63,1010,676.7,0,305,135,9,55,0.48,250,40,39,260,110,3.46,2.97
468,Porbandar,Porbandar1,7.16,1410,944.7,0,451,227,4,103,0.93,370,40,34,240,230,26.43,6.45
469,Porbandar,Ranavav2,7.15,1160,777.2,0,305,191,71,37,0.56,250,20,86,405,95,1.65,2.05
470,Porbandar,Ratadi,7.87,2810,1882.7,0,451,574,25,194,1.3,370,32,51,290,524,6.06,13.38
471,Porbandar,Ratia,7.15,2801,1876.67,0,329,652,101,121,0.35,270,24,119,550,293,160,5.43
472,Porbandar,Simar,7.38,460,308.2,0,49,50,104,33,0.42,40,24,24,160,30,2.26,1.03
473,Porbandar,Tukda(Gosa),7.61,1302,872.34,0,268,184,116,76,0.31,220,44,27,220,170,49.43,4.98
474,Porbandar,Visavada,7.46,1730,1159.1,0,232,362,16,141,1.91,190,56,64,405,197,16.58,4.26
475,Rajkot,Goghavadar,7.04,1171,785,0,220,184,82,115,0.82,180,92.184,54,450,89,2.64,1.8
476,Rajkot,kamlapur 1,7.02,2705,1812,0,73,716,135,176,0.54,60,240.48,36,751,295,2.4,4.7
477,Rajkot,Kalithad 1,7.38,1212,812,0,146,277,31,77,0.59,120,104.208,29,380,98,0.56,2.2
478,Rajkot,Lalavadar,7.5,656,440,0,317,43,16,21,0.67,260,60.12,27,260,43,0.75,1.2
479,Rajkot,Bhadla,7.02,2040,1367,0,171,482,96,127,0.45,140,124.248,95,701,170,2.2,2.8
480,Rajkot,Movaiya,7.19,8752,5864,0,256,2652,168,615,0.74,210,573,467,3353,690,0.72,5.2
481,Rajkot,Motadadva,7.4,1515,1015,0,195,355,60,120,0.5,160,120,83,641,85,3.4,1.5
482,Rajkot,Upleta,7.83,2630,1762,0,720,468,36,60,3.1,590,28,27,180,565,0.88,18.3
