District,Location,pH,EC,TDS,CO3,HCO3,Cl,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K
Narmada,Selemba,7.85,741.0,496,0.0,354,57,140,25.0,0.65,290,72,32.0,310.0,93.0,0.3
Narmada,Sunderpura,7.84,540.0,362,0.0,281,64,3,16.0,0.35,230,60,24.0,250.0,42.0,0.8
Narmada,Umaran,7.94,496.0,332,0.0,256,92,10,22.0,0.35,210,56,17.0,210.0,75.0,0.3
Navsari,Abrama,7.91,3091.0,2071,0.0,464,781,2,47.0,0.23,380,88,112.0,680.0,399.0,18.0
Navsari,Chandav,7.84,886.0,594,0.0,317,85,9,42.0,0.6,260,72,32.0,310.0,57.0,2.0
Navsari,Chinam,8.28,3020.0,2023,0.0,854,554,2,210.0,0.22,700,48,63.0,380.0,289.0,556.0
Navsari,Dandi,7.89,1337.0,896,0.0,488,163,44,10.0,0.0,400,40,44.0,280.0,145.0,66.1
Navsari,Doldha(New),7.84,474.0,318,0.0,183,36,0,44.0,0.35,150,52,17.0,200.0,22.0,0.6
Navsari,Duvada,7.93,939.0,629,0.0,427,78,5,40.0,1.18,350,56,41.0,310.0,92.0,0.8
Navsari,Eru,8.2,988.0,662,0.0,366,135,44,6.0,0.77,300,48,32.0,250.0,132.0,6.9
Navsari,Hond,7.39,1262.0,846,0.0,488,121,46,0.0,0.22,400,156,22.0,480.0,60.0,13.2
Navsari,Kaliyari,7.72,853.0,572,0.0,305,71,9,60.0,0.3,250,96,32.0,370.0,24.0,2.7
Navsari,Khergam,7.79,735.0,492,0.0,293,64,9,15.0,0.22,240,68,24.0,270.0,39.0,0.3
Navsari,Manavkhadak,7.86,602.0,403,0.0,281,35,2,20.0,0.77,230,56,19.0,220.0,39.0,0.3
Navsari,Moti Valzar,7.52,716.0,480,0.0,366,43,4,23.0,0.72,300,52,36.0,280.0,51.0,1.3
Navsari,Navsari1,7.7,6349.0,4254,0.0,317,2059,23,47.0,0.35,260,260,219.0,1550.0,791.0,9.9
Navsari,Onjal,7.98,1157.0,775,0.0,354,199,2,3.0,0.36,290,84,29.0,330.0,115.0,5.8
Navsari,Panikhadak,7.74,851.0,570,0.0,305,107,10,26.0,0.23,250,84,41.0,380.0,27.0,2.4
Navsari,Parajan,8.28,1055.0,707,0.0,549,57,8,5.0,2.4,450,12,29.0,150.0,180.0,5.5
Navsari,Ramla,7.92,443.0,297,0.0,195,35,2,7.0,0.53,160,40,17.0,170.0,23.0,0.2
Navsari,Sari_khurd,7.86,2635.0,1765,0.0,378,653,0,27.0,0.07,310,108,124.0,780.0,226.0,33.5
Navsari,Ubhrat,7.65,1088.0,729,0.0,427,121,18,20.0,1.19,350,64,22.0,250.0,130.0,26.2
Panchmahals,Chhabanpur,7.73,831.0,557,0.0,305,71,38,63.0,0.94,250,92,22.0,320.0,60.0,1.5
Panchmahals,Dhanol nani,8.42,2512.0,1683,132.0,73,567,45,173.0,5.2,280,120,36.0,450.0,400.0,2.3
Panchmahals,Gadhar,7.72,873.0,585,0.0,281,113,23,31.0,0.98,230,92,24.0,330.0,53.0,4.2
Panchmahals,Godhara (Colleg,)8.28,710.0,476,0.0,317,64,32,13.0,3.2,260,84,19.0,290.0,50.0,5.4
Panchmahals,Godhara Jilla Se,a)7.96,843.0,565,0.0,378,71,27,23.0,0.93,310,44,43.0,290.0,78.0,2.5
Panchmahals,Godhra(Mandir),8.07,1028.0,689,0.0,329,142,28,48.0,1.18,270,44,50.0,320.0,105.0,1.7
Panchmahals,Godhra(School),8.71,392.0,263,36.0,134,21,3,15.0,0.4,170,48,14.0,180.0,18.0,2.1
Panchmahals,Jambughora,8.26,800.0,536,0.0,281,50,43,79.0,1.12,230,36,43.0,270.0,70.0,1.0
Panchmahals,Jokha,8.14,1338.0,896,0.0,537,156,5,8.0,1.23,440,96,38.0,400.0,128.0,7.7
Panchmahals,Kalol urban 1,8.16,1957.0,1311,0.0,64,163,80,484.0,1.0,52,32,77.0,400.0,210.0,0.8
Panchmahals,Khadki,8.21,1352.0,906,0.0,683,78,5,26.0,2.2,560,44,60.0,360.0,160.0,1.9
Panchmahals,Khanpur,7.80,782.0,524,0.0,281,71,31,44.0,0.65,230,72,29.0,300.0,48.0,0.9
Panchmahals,Kotha,7.80,806.0,540,0.0,317,92,10,39.0,0.99,260,80,7.0,230.0,98.0,1.9
Panchmahals,Kothamba,7.71,1800.0,1206,0.0,305,340,64,85.0,0.65,250,124,58.0,530.0,160.0,4.8
Panchmahals,Limbadia peti,7.90,974.0,653,0.0,390,71,7,59.0,1.05,320,68,43.0,350.0,65.0,1.9
Panchmahals,Lunawada,8.03,1790.0,1199,0.0,513,319,45,4.0,0.2,420,208,31.0,650.0,123.0,20.3
Panchmahals,Malekpur1,8.00,668.0,448,0.0,256,50,7,71.0,0.98,210,76,19.0,270.0,43.0,2.0
Panchmahals,Natapur,7.93,686.0,460,0.0,207,113,28,22.0,1.4,170,92,5.0,250.0,60.0,2.3
Panchmahals,Ranipura,7.79,2650.0,1776,0.0,464,461,100,220.0,1.5,380,320,36.0,950.0,185.0,6.3
Panchmahals,Santrampur1,7.70,970.0,650,0.0,305,135,11,74.0,0.34,250,92,24.0,330.0,92.0,1.3
Panchmahals,Shehra,8.10,1846.0,1237,0.0,793,170,26,4.0,0.81,650,52,38.0,290.0,290.0,79.0
Panchmahals,Silwad,8.03,4900.0,3283,0.0,171,1347,110,379.0,0.94,140,300,312.0,2050.0,230.0,10.1
Panchmahals,Suliyat,7.97,1056.0,708,0.0,390,99,40,44.0,0.98,320,108,31.0,400.0,65.0,14.0
Panchmahals,Tuwa,8.14,740.0,496,0.0,366,43,5,18.0,0.7,300,44,19.0,190.0,90.0,14.1
Panchmahals,Vejalpur,7.72,2090.0,1400,0.0,586,362,21,27.0,1.2,480,44,86.0,470.0,265.0,12.5
Patan,Dharmoda,8.27,985.0,660,0.0,464,71,5,10.0,0.47,380,80,22.0,290.0,79.0,30.0
Patan,Dhinoj,7.52,1392.0,933,0.0,451,220,2,30.0,0.2,370,52,38.0,290.0,176.0,37.0
Patan,Moti chander,7.94,11450.0,7672,0.0,293,3474,17,880.0,0.48,240,360,552.0,3200.0,1350.0,26.6
Patan,Patan2,8.00,3260.0,2184,0.0,1159,461,34,21.0,2.8,950,48,139.0,700.0,423.0,86.5
Patan,Piprala,8.43,6040.0,4047,36.0,634,1276,190,531.0,5.6,580,220,96.0,950.0,1000.0,0.9
Patan,Radhanpur2,8.22,3548.0,2377,0.0,744,780,11,128.0,1.4,610,120,48.0,500.0,630.0,36.0
Patan,Sander,8.05,675.0,452,0.0,256,85,4,20.0,0.43,210,56,26.0,250.0,40.0,7.5
Patan,Santhalpur,8.57,10895.0,7300,120.0,610,3368,20,381.0,4.0,700,200,240.0,1500.0,2040.0,10.6
Patan,Shankhari,8.18,886.0,427,0.0,427,71,5,5.0,1.35,350,44,27.0,210.0,117.0,8.5
Porbandar,Adwana1,8.15,1879.0,1259,0.0,720,156,150,35.0,1.28,590,128,92.0,700.0,126.0,11.2
Porbandar,Balej,7.57,4520.0,3028,0.0,207,1349,78,69.0,0.15,170,248,112.0,1080.0,530.0,35.9
Porbandar,Bhavpura,7.55,5145.0,3447,0.0,232,1590,76,82.0,0.31,190,368,141.0,1500.0,510.0,7.4
Porbandar,Kadegi,7.94,4075.0,2730,0.0,281,1136,3,146.0,0.12,230,144,126.0,880.0,519.0,4.9
Porbandar,Khambodar,8.28,326.0,218,0.0,146,28,3,6.0,0.35,120,28,19.0,150.0,9.0,1.9
Porbandar,Kuchhadi,7.95,5194.0,3480,0.0,342,1491,27,87.0,0.58,280,104,95.0,700.0,839.0,64.1
Porbandar,Kutiyana1,7.78,5027.0,3368,0.0,390,1335,120,155.0,1.2,320,240,136.0,1160.0,611.0,45.3
Porbandar,Miyani,7.54,3097.0,2075,0.0,390,809,75,20.0,0.2,320,224,39.0,720.0,385.0,42.3
Porbandar,Navibandar,8.05,770.0,516,0.0,183,163,24,10.0,0.01,150,72,22.0,270.0,58.0,20.6
Porbandar,Oddar,7.92,7584.0,5081,0.0,415,2485,19,329.0,1.35,340,200,207.0,1350.0,1335.0,35.7
Porbandar,Palkhada,7.82,3182.0,2132,0.0,232,838,185,31.0,0.3,190,224,63.0,820.0,345.0,20.1
Porbandar,Pata,8.03,3201.0,2145,0.0,476,781,60,55.0,0.0,390,120,58.0,540.0,493.0,18.4
Porbandar,Porbandar1,8.28,1768.0,1185,0.0,293,440,10,25.0,0.57,240,48,39.0,280.0,271.0,31.2
Porbandar,Ranavav,7.78,867.0,581,0.0,207,163,37,28.0,0.66,170,68,32.0,250.0,98.0,2.0
Porbander,Adityana,7.94,681.0,456,0.0,281,85,26,29.0,0.95,230,36,24.0,190.0,99.0,1.9
Porbander,Bakharla,8.12,1889.0,1266,0.0,366,405,74,39.0,0.6,300,100,56.0,480.0,230.0,9.3
Porbander,Kandorna,7.50,4360.0,2921,0.0,232,1306,74,87.0,1.0,190,240,226.0,1120.0,501.0,3.9
Porbander,Kolikheda,8.29,1458.0,977,60.0,464,206,27,16.0,2.14,480,32,12.0,130.0,317.0,1.6
Porbander,Mochchha,7.62,3017.0,2021,0.0,171,966,11,56.0,0.01,140,232,83.0,920.0,307.0,23.4
Porbander,Mojieana,7.72,6729.0,4508,0.0,256,2237,72,209.0,0.46,210,460,292.0,2350.0,613.0,1.6
Porbander,Ratadi,7.97,4310.0,2888,0.0,439,1065,49,226.0,1.1,360,80,83.0,540.0,745.0,7.2
Porbander,Ratanpur,7.76,10790.0,7229,0.0,366,3905,1,271.0,0.7,300,220,292.0,1750.0,2030.0,41.2
Porbander,Ratia,7.71,2649.0,1775,0.0,293,682,78,40.0,0.76,240,128,68.0,600.0,246.0,148.2
Porbander,Simar,8.61,296.0,198,24.0,73,14,2,34.0,0.35,100,32,15.0,140.0,8.0,1.9
Porbander,Tukra gosa,8.39,694.0,465,24.0,159,135,22,8.0,0.17,170,36,24.0,190.0,68.0,41.3
Porbander,Visavada,7.81,5223.0,3499,0.0,195,1562,41,143.0,1.28,160,240,107.0,1040.0,707.0,47.5
Rajkot,Amar nagar,7.87,14250.0,9548,0.0,476,4864,25,25.0,4.2,390,360,681.0,3700.0,1700.0,3.5
Rajkot,Chhatar,8.04,3869.0,2592,0.0,281,895,150,286.0,0.75,230,176,102.0,860.0,492.0,2.3
Rajkot,Chordi,7.67,3360.0,2251,0.0,49,937,66,220.0,0.35,40,296,111.0,1195.0,215.0,3.2
Rajkot,Dadia,8.07,1057.0,708,0.0,293,192,10,20.0,0.33,240,92,2.0,240.0,140.0,2.8
Rajkot,Ganod,7.62,5326.0,3568,0.0,195,1477,280,169.0,0.35,160,448,29.0,2140.0,245.0,0.8
Rajkot,Gavridad,8.42,299.0,200,24.0,134,43,2,30.0,0.28,150,36,34.0,230.0,7.0,2.1
Rajkot,Hadmatia,8.05,1904.0,1276,0.0,378,241,180,156.0,0.37,310,140,44.0,530.0,199.0,4.0
Rajkot,Halenda,8.24,1675.0,1122,0.0,488,213,95,184.0,0.6,400,68,141.0,750.0,103.0,3.0
Rajkot,Jamwali,8.16,437.0,293,0.0,207,43,2,15.0,0.3,170,52,15.0,190.0,27.0,3.2
Rajkot,Jasapur,7.80,1995.0,1337,0.0,122,497,250,7.0,0.28,100,208,32.0,650.0,170.0,5.0
Rajkot,Jasdan2,7.86,2320.0,1554,0.0,146,596,27,161.0,0.32,120,224,19.0,640.0,240.0,1.0
Rajkot,Jetpur pithad.,7.50,7791.0,5220,0.0,73,2592,9,158.0,0.29,60,1160,12.0,2950.0,453.0,2.5
Rajkot,Kamlapur,7.68,4779.0,3202,0.0,122,1377,135,248.0,0.4,100,376,122.0,1490.0,435.0,2.7
Rajkot,khamta,8.09,881.0,590,0.0,268,64,61,77.0,0.4,220,40,24.0,100.0,157.0,0.8
Rajkot,Khirsara-1,7.92,1645.0,1102,0.0,207,391,13,89.0,0.25,170,144,5.0,380.0,208.0,3.1
Rajkot,Kolithad 1,8.09,1522.0,1020,0.0,37,412,68,81.0,0.1,30,140,0.0,350.0,188.0,3.4
Ahmedabad,Barvala,7.84,5440.0,3645,0.0,1281,815,32,407.0,4.5,1050,80,144.0,800.0,863.0,2.0
Ahmedabad,Dalod,8.51,2833.0,1898,24.0,171,682,8,244.0,0.9,180,88,24.0,320.0,505.0,5.1
Ahmedabad,Devaliya,8.42,1135.0,760,48.0,342,135,13,103.0,1.44,360,40,34.0,240.0,200.0,1.9
Ahmedabad,Dhandhuka1,8.27,10980.0,7357,0.0,1403,2340,38,1319.0,6.0,1150,240,336.0,2000.0,1800.0,24.0
Ahmedabad,Endla,8.28,2939.0,1969,0.0,256,682,9,264.0,0.8,210,120,14.0,360.0,510.0,5.1
Ahmedabad,Gamph,8.28,3102.0,2078,0.0,1013,496,15,28.0,0.47,830,160,72.0,700.0,380.0,40.0
Ahmedabad,Khabhada,8.06,1668.0,1118,390.0,333,44,94,0.75,80.0,96,600,152.0,1.8,,
Ahmedabad,Kundali,8.28,1022.0,685,0.0,354,142,95,24.0,0.28,290,52,65.0,400.0,90.0,0.6
Ahmedabad,Mandal2,8.2,920.0,616,0.0,366,107,3,5.0,0.22,300,60,14.0,210.0,110.0,12.8
Ahmedabad,Rajpada,8.23,1490.0,998,0.0,622,142,41,15.0,0.89,510,120,53.0,520.0,112.0,11.4
Amreli,Amreli,7.94,1667.0,1117,0.0,683,163,41,12.0,0.2,560,180,36.0,600.0,110.0,5.9
Amreli,Badhda,8.17,1500.0,1005,0.0,434,213,60,67.0,0.5,356,80,86.0,560.0,101.0,5.7
Amreli,Bagasara,7.87,3197.0,2142,0.0,378,744,210,62.0,0.75,310,240,108.0,1050.0,257.0,0.7
Amreli,Bhavardi1,8.07,1052.0,705,0.0,378,92,94,52.0,0.31,310,72,41.0,350.0,102.0,0.5
Amreli,Bhuva,8.04,11530.0,7725,0.0,817,3190,240,424.0,1.15,670,100,252.0,1300.0,2100.0,66.8
Amreli,Charkhadia1,8.29,2300.0,1541,0.0,1098,135,28,44.0,1.24,900,56,22.0,230.0,430.0,3.5
Amreli,Chavand,8.28,800.0,536,0.0,342,28,8,96.0,0.3,280,48,46.0,310.0,54.0,0.1
Amreli,Devliya,6.81,1180.0,791,0.0,317,206,49,25.0,0.0,260,84,53.0,430.0,87.0,2.0
Amreli,Dhari,8.23,2100.0,1407,0.0,268,418,240,73.0,0.48,220,156,115.0,870.0,100.0,2.2
Amreli,Fifad,8.42,4290.0,2874,132.0,769,886,60,28.0,1.45,850,80,156.0,850.0,620.0,0.8
Amreli,Goradka,7.84,1423.0,953,0.0,244,213,210,78.0,0.35,200,104,84.0,610.0,67.0,0.5
Amreli,Govadka,7.61,3176.0,2128,0.0,403,674,225,32.0,0.46,330,120,156.0,850.0,303.0,2.1
Amreli,Jafrabad,8.01,3454.0,2314,0.0,464,886,56,53.0,0.7,380,240,72.0,900.0,390.0,47.0
Amreli,Kerala,8.2,2050.0,1374,0.0,781,248,32,28.0,0.5,640,88,48.0,420.0,290.0,4.7
Amreli,Khamba,8.06,970.0,650,0.0,403,71,62,19.0,0.31,330,52,53.0,350.0,70.0,0.3
Amreli,Kunkavav,7.87,1936.0,1297,0.0,256,425,95,121.0,0.46,210,184,53.0,680.0,157.0,0.8
Amreli,Lathi,8.19,1490.0,998,0.0,451,241,41,44.0,0.5,370,48,77.0,440.0,163.0,0.4
Amreli,Lotpur,8.04,7450.0,4992,0.0,1281,1773,68,220.0,1.3,1050,340,300.0,2100.0,700.0,176.0
Amreli,Luvariya,8.85,1200.0,804,96.0,366,71,17,38.0,1.45,460,28,22.0,160.0,211.0,0.7
Amreli,Mandal,7.83,2630.0,1762,0.0,281,603,170,130.0,0.32,230,240,55.0,800.0,260.0,6.0
Amreli,Morjhar,8.13,900.0,603,0.0,317,99,22,38.0,0.2,260,72,41.0,350.0,50.0,0.7
Amreli,Nageshri,8.29,1050.0,704,0.0,329,163,18,20.0,0.6,270,68,12.0,220.0,147.0,1.8
Amreli,Piyava,8.29,1500.0,1005,0.0,732,85,44,45.0,0.6,600,32,38.0,240.0,260.0,0.5
Amreli,Punjapadar,8.29,600.0,402,0.0,281,42,14,10.0,1.01,230,40,7.0,130.0,85.0,7.0
Amreli,Tajpur,8.29,500.0,335,0.0,220,28,9,33.0,0.54,180,44,26.0,220.0,20.0,2.2
Amreli,Trakuda,7.98,1200.0,804,0.0,378,142,60,62.0,0.3,310,64,62.0,470.0,72.0,4.8
Amreli,Untvad,8.26,1300.0,871,0.0,598,85,13,48.0,0.3,490,100,74.0,560.0,52.0,9.5
Amreli,Vaghania juna,8.29,1567.0,1050,0.0,268,298,76,87.0,0.75,220,80,26.0,310.0,225.0,2.2
Amreli,Vanada,8.48,2460.0,1648,84.0,769,248,100,74.0,1.05,770,24,70.0,350.0,430.0,0.8
Amreli,Vankiya(Khamba),7.99,1170.0,784,0.0,415,121,150,56.0,0.0,340,88,72.0,520.0,82.0,0.6
Amreli,Vankiya1,8.2,3400.0,2278,0.0,915,638,45,49.0,1.3,750,60,108.0,600.0,530.0,0.2
Amreli,Victor,8.64,1334.0,894,60.0,390,177,11,18.0,2.9,420,32,24.0,180.0,243.0,12.0
Anand,Anklav2,7.72,1283.0,860,0.0,561,142,44,11.0,0.5,460,60,73.0,450.0,120.0,4.5
Anand,Bandhani,8.04,743.0,498,0.0,342,92,14,5.0,0.85,280,64,17.0,230.0,92.0,13.8
Anand,Bhadran,7.84,679.0,455,0.0,464,43,1,32.0,0.1,380,80,32.0,330.0,67.0,2.0
Anand,Boriyavi,7.82,1916.0,1284,0.0,390,362,46,111.0,0.15,320,124,109.0,760.0,106.0,12.8
Anand,Dali,8.22,3694.0,2475,0.0,1232,746,32,41.0,1.4,1010,160,97.0,800.0,620.0,17.9
Anand,Dharmaj,8.45,2864.0,1919,96.0,891,390,47,74.0,1.05,890,40,109.0,550.0,467.0,2.2
Anand,Laxmipura,8.48,4159.0,2787,84.0,817,923,6,117.0,2.4,810,20,109.0,500.0,810.0,4.6
Anand,Parvata,8.45,1049.0,703,48.0,512,78,20,30.0,1.1,500,36,63.0,350.0,143.0,1.4
Anand,Ras,8.49,1535.0,1028,72.0,647,156,15,29.0,3.75,650,16,17.0,110.0,375.0,3.5
Banaskantha,Amirgadh,8.27,2841.0,1903,0.0,488,645,80,94.0,0.7,400,64,144.0,760.0,334.0,1.1
Banaskantha,Bharol,8.4,526.0,352,48.0,110,43,39,13.0,0.1,170,56,12.0,190.0,40.0,37.0
Banaskantha,Dantiwada,1.0,7.91,710,476.0,220,106,15,25.0,0.37,180,56,24.0,240.0,60.0,13.5
Banaskantha,Ganapipli,7.58,1000.0,670,0.0,342,149,12,8.0,2.2,280,52,41.0,300.0,100.0,18.4
Banaskantha,Gangodra,8.29,1958.0,1312,0.0,427,362,90,67.0,1.05,350,96,58.0,480.0,245.0,3.0
Banaskantha,Iqbalgarh,8.26,814.0,545,0.0,317,64,45,21.0,0.26,260,52,48.0,330.0,37.0,1.0
Banaskantha,Khoda,8.23,1518.0,1017,0.0,537,206,11,80.0,1.5,440,52,31.0,260.0,224.0,73.0
Banaskantha,Kidotar,8.44,1700.0,1139,84.0,451,170,39,117.0,2.2,510,36,72.0,390.0,240.0,1.7
Banaskantha,Meda,8.27,1600.0,1072,0.0,598,191,22,15.0,0.24,490,128,38.0,480.0,146.0,0.8
Banaskantha,Mohabbat gadh,8.28,1210.0,811,0.0,195,284,29,50.0,1.25,160,116,36.0,440.0,94.0,3.1
Banaskantha,Palanpur2,8.11,3600.0,2412,0.0,415,957,86,75.0,0.75,340,160,180.0,1150.0,325.0,3.6
Banaskantha,Ratanpur2,8.29,900.0,603,0.0,146,184,39,113.0,0.2,120,100,31.0,380.0,70.0,6.2
Banaskantha,Sodapur,7.78,1531.0,1026,0.0,439,142,50,200.0,1.38,360,80,72.0,500.0,145.0,5.4
Bharuch,Bharuch,8.01,2734.0,1832,0.0,561,710,3,80.0,0.25,460,100,183.0,1000.0,258.0,1.5
Bharuch,Bhensli,8.62,1277.0,856,132.0,610,35,3,33.0,4.05,720,12,17.0,100.0,330.0,0.6
Bharuch,Chidra,8.35,1041.0,697,36.0,390,106,38,20.0,0.15,380,60,36.0,300.0,130.0,54.9
Bharuch,Chiklota,7.98,745.0,499,0.0,427,57,39,46.0,0.7,350,68,32.0,300.0,98.0,0.4
Bharuch,Dahegam,7.89,1050.0,704,0.0,573,106,7,19.0,0.0,470,92,51.0,440.0,95.0,35.7
Bharuch,Jokhala,8.29,920.0,616,0.0,525,71,10,36.0,0.95,430,40,51.0,310.0,124.0,1.0
Bharuch,Kalak,8.13,1049.0,703,0.0,586,99,34,20.0,0.5,480,80,27.0,310.0,166.0,18.7
Bharuch,Kaswa,8.32,953.0,639,0.0,500,99,4,40.0,0.25,410,40,34.0,240.0,164.0,12.0
Bharuch,Kavi,8.48,2343.0,1570,84.0,238,177,46,-39.0,0.3,335,40,36.0,250.0,154.0,376.0
Bharuch,Kondh,8.1,1363.0,913,0.0,549,170,39,6.0,1.3,450,56,43.0,330.0,186.0,402.0
Bharuch,Mahegam1,8.21,551.0,369,0.0,293,64,9,9.0,0.15,240,56,19.0,220.0,59.0,7.1
Bharuch,Motwan,8.31,2464.0,1651,0.0,464,540,3,38.0,0.75,380,60,61.0,400.0,366.0,8.3
Bharuch,Mungaj,8.20,461.0,309,0.0,293,28,5,14.0,0.1,240,40,22.0,190.0,50.0,0.1
Bharuch,Nirnavi,8.24,465.0,312,0.0,305,28,6,25.0,0.35,250,44,17.0,180.0,65.0,10.0
Bharuch,Panoli,7.81,6044.0,4049,0.0,573,1775,44,96.0,1.1,470,18,28.0,1600.0,710.0,3.2
Bharuch,Raymal,8.37,804.0,539,36.0,195,149,8,20.0,0.4,220,40,24.0,200.0,120.0,7.9
Bharuch,Roja tankaria,8.30,965.0,647,0.0,427,128,5,53.0,0.0,350,76,29.0,310.0,130.0,30.6
Bharuch,Sajod,8.06,726.0,486,0.0,415,78,5,31.0,0.2,340,76,29.0,310.0,82.0,21.2
Bharuch,Sajod,8.15,1576.0,1056,0.0,903,114,5,9.0,1.55,740,44,92.0,490.0,198.0,4.3
Bharuch,Sindhav,8.17,1370.0,918,0.0,500,185,3,24.0,0.4,410,52,41.0,300.0,185.0,30.5
Bharuch,Tankari,8.07,2746.0,1840,0.0,866,390,6,146.0,0.85,710,44,88.0,470.0,440.0,53.5
Bharuch,Timbroli,8.04,483.0,324,0.0,305,35,7,42.0,0.45,250,72,15.0,240.0,51.0,2.0
Bharuch,Utraj,8.13,892.0,598,0.0,464,106,4,17.0,0.8,380,24,32.0,190.0,168.0,2.3
Bharuch,Valia,7.97,3574.0,2395,0.0,305,887,9,67.0,1.4,250,160,85.0,750.0,390.0,1.8
Bhavnagar,Ayodhyapuram,8.29,5724.0,3835,0.0,1037,1312,11,224.0,3.0,850,120,120.0,800.0,1000.0,1.0
Bhavnagar,Bhavnagar City 1,8.24,1064.0,713,0.0,488,106,2,27.0,0.64,400,40,36.0,250.0,153.0,0.7
Bhavnagar,Bhudel,8.4,2320.0,1554,108.0,500,354,76,54.0,0.87,590,120,84.0,650.0,260.0,8.2
Bhavnagar,Bhumbhali,8.12,5451.0,3652,0.0,659,1312,6,351.0,0.87,540,140,204.0,1200.0,730.0,20.0
Bhavnagar,Bhutia,7.88,1892.0,1268,0.0,244,475,13,63.0,0.67,200,152,53.0,600.0,164.0,1.5
Bhavnagar,Bora,8.45,1696.0,1136,60.0,695,92,70,28.0,1.5,670,28,22.0,160.0,336.0,2.3
Bhavnagar,Dhasa,8.29,800.0,536,0.0,342,78,12,19.0,0.2,280,72,36.0,330.0,42.0,9.5
Bhavnagar,Dudhala,8.03,1865.0,1250,0.0,281,425,68,73.0,0.64,230,124,50.0,520.0,207.0,3.2
Bhavnagar,Gadhada2,8.18,1000.0,670,0.0,378,99,6,95.0,0.34,310,72,55.0,410.0,67.0,0.9
Bhavnagar,Ghogha,8.11,6504.0,4358,0.0,683,1524,220,301.0,0.9,560,140,180.0,1100.0,980.0,65.1
Bhavnagar,Khijadiya,8.26,2070.0,1387,0.0,1086,85,28,19.0,0.67,890,112,38.0,440.0,283.0,2.4
Bhavnagar,Kundeli,7.89,760.0,509,0.0,281,92,26,55.0,0.3,230,72,41.0,350.0,42.0,1.3
Bhavnagar,Longadi,8.21,715.0,479,0.0,415,57,3,20.0,0.67,340,56,29.0,260.0,86.0,21.0
Bhavnagar,Motivadal,8.11,1234.0,827,0.0,451,156,43,32.0,0.23,370,132,34.0,470.0,88.0,5.9
Bhavnagar,Ningala,8.48,1252.0,839,48.0,354,156,19,54.0,0.74,370,44,36.0,260.0,187.0,1.6
Bhavnagar,Panchpipla,8.24,1218.0,816,0.0,500,135,28,21.0,0.83,410,40,43.0,280.0,170.0,0.5
Bhavnagar,Panvi1,8.69,2770.0,1856,96.0,988,284,24,15.0,2.6,970,120,108.0,750.0,300.0,10.2
Bhavnagar,Piperla,7.99,1050.0,704,0.0,427,99,48,25.0,0.1,350,88,62.0,480.0,35.0,0.9
Bhavnagar,Porbara,7.98,1598.0,1071,0.0,244,241,225,99.0,0.6,200,96,58.0,480.0,161.0,1.1
Bhavnagar,Sajnasar,8.07,1142.0,765,0.0,500,85,27,81.0,0.45,410,124,53.0,530.0,50.0,8.4
Bhavnagar,Sandhida,8.20,704.0,472,0.0,329,35,6,88.0,0.44,270,68,43.0,350.0,31.0,2.1
Bhavnagar,Shantinagar,7.91,1452.0,973,0.0,305,191,225,76.0,0.27,250,96,89.0,610.0,80.0,1.4
Bhavnagar,Talaja2,6.80,1788.0,1198,0.0,342,369,72,53.0,0.97,280,88,106.0,660.0,121.0,0.3
Bhavnagar,Tansa,8.23,1343.0,900,0.0,525,156,64,21.0,0.46,430,128,70.0,610.0,54.0,4.1
Bhavnagar,Tardhera,8.05,3476.0,2329,,464,815,80,170.0,0.5,380,240,216.0,1500.0,130.0,4.8
Bhavnagar,Timbi2,8.29,500.0,335,0.0,244,21,3,53.0,0.6,200,52,29.0,250.0,18.0,1.9
Bhavnagar,Trapaj,8.2,1432.0,959,0.0,573,156,35,47.0,0.2,470,152,62.0,640.0,60.0,11.6
Daman,Ambawadi,7.99,1318.0,883,0.0,586,156,16,14.0,0.18,480,136,32.0,470.0,120.0,68.5
Daman,Dabhel,7.84,860.0,576,0.0,366,85,5,9.0,0.32,300,60,39.0,310.0,58.0,1.9
Daman,Dalwada,7.94,711.0,476,0.0,317,71,2,9.0,0.63,260,56,32.0,270.0,48.0,1.6
Daman,Jempore,7.88,994.0,666,0.0,512,71,22,11.0,0.22,420,88,41.0,390.0,74.0,28.7
Daman,Khariwad Daman,8.09,1213.0,813,0.0,488,128,3,6.0,1.25,400,32,27.0,190.0,186.0,16.9
Daman,Manwad,8.09,786.0,527,0.0,403,71,8,8.0,0.22,330,20,39.0,210.0,109.0,24.1
Daman,Warkhund,7.85,1631.0,1093,0.0,451,291,15,27.0,0.77,370,68,83.0,510.0,146.0,1.7
Diu,Diu,8.20,4486.0,3006,0.0,598,1205,3,50.0,0.35,490,80,168.0,900.0,629.0,40.3
Diu,Gomtimata,7.82,10640.0,7129,0.0,549,3226,66,270.0,0.2,450,180,456.0,2350.0,1400.0,34.0
Diu,Jolawadi,7.29,13030.0,8730,0.0,207,4467,16,72.0,0.01,170,560,600.0,3900.0,1260.0,42.0
Dohad,Ambakatch,8.14,1422.0,953,0.0,695,99,15,13.0,1.35,570,32,79.0,410.0,152.0,9.5
Dohad,Badpa,7.94,1398.0,937,0.0,512,135,5,102.0,5.48,420,68,31.0,300.0,201.0,1.9
Dohad,Dadhela,8.21,680.0,456,0.0,244,78,25,10.0,1.25,200,28,50.0,280.0,30.0,5.7
